id,name,text,trans
0000000000000,美鈴,プロデューサー。今日の\n天川ウォークラリーイベントですが……,制作人。今天的\n天川步行拉力赛活动……
0000000000000,美鈴,イベントの説明以外に、\nわたしにできることはありますか？,除了活动介绍之外，\n我还能做些什么呢？
select,,ゴールでの\n出迎え,终点处的\n迎接
select,,迷子の\n道案内,迷路者的\n指引
select,,参加者の\n応援,参赛者的\n加油
0000000000000,美鈴,でしたら、ゴールした皆さんを\nしっかり労ってさしあげたいですね。,那么，我想好好犒劳\n到达终点的大家。
0000000000000,{user},天川ウォークラリー、\nいいイベントだったな。,天川步行拉力赛，\n真是个不错的活动啊。
0000000000000,美鈴,わかりました。\n迷子の皆さんを、ゴールに導きます。,明白了。\n我会把迷路的人们引导到终点。
0000000000000,{user},天川ウォークラリー、\nいいイベントだったな。,天川步行拉力赛，\n真是个不错的活动啊。
0000000000000,美鈴,皆さんのお手伝いをするのは……\n応援のうちに入るでしょうか。,帮助大家……\n这算是应援的一部分吗？
0000000000000,{user},天川ウォークラリー、\nいいイベントだったな。,天川步行拉力赛，\n真是个不错的活动啊。
info,adv_pevent_002_hmsz_sales_2-006-01.txt,,
译者,deepseek-reasoner,,
