id,name,text,trans
0000000000000,{user},お疲れ様です。今日はウォークラリー\nの案内と、ゴールでの出迎えです。,辛苦了。今天是定向越野\n的引导和在终点的迎接工作。
0000000000000,麻央,案内はともかく、出迎え……\nって、何をするんですか？,引导先不说，迎接……\n具体要做什么呢？
select,,メダルの\n授与,颁发\n奖牌
select,,お菓子を\n渡す,分发\n点心
select,,スマイル,微笑
0000000000000,麻央,わぁ、綺麗なメダルですね。\nこれもらったら、きっと喜びますよ。,哇，好漂亮的奖牌啊。\n拿到这个的话，大家一定会很高兴的。
0000000000000,{user},麻央さんに出迎えられて参加者は\nみんな笑顔だ。楽しそうでよかった。,被麻央小姐迎接的参与者\n都露出了笑容。看起来很开心，真是太好了。
0000000000000,麻央,歩き回って疲れてるでしょうし、\n喜ばれそうですね。,大家走了这么久应该很累了，\n能让他们开心真是太好了。
0000000000000,{user},麻央さんに出迎えられて参加者は\nみんな笑顔だ。楽しそうでよかった。,被麻央小姐迎接的参与者\n都露出了笑容。看起来很开心，真是太好了。
0000000000000,麻央,え！？　も、もっと渡したり\nするもの、ありますよね？,诶！？还、还有更多要\n分发的东西吧？
0000000000000,{user},麻央さんに出迎えられて参加者は\nみんな笑顔だ。楽しそうでよかった。,被麻央小姐迎接的参与者\n都露出了笑容。看起来很开心，真是太好了。
info,adv_pevent_002_amao_sales_2-006-01.txt,,
译者,deepseek-chat,,
