id,name,text,trans
0000000000000,手毬,プロデューサー、サイン会の前に\n見てほしいものがあるんだけど。,制作人，在签名会之前\n有样东西想给你看看。
0000000000000,{user},……とてつもなく、嫌な予感がします。,……我有种非常不祥的预感。
0000000000000,手毬,私、新しいサインを考えてきたんです。,我设计了一个新的签名。
select,,……一応、\n見せてください,……好吧，\n让我看看吧。
select,,いつものサイン、\n好評なんですよ,现在的签名\n很受欢迎哦。
select,,慣れないものより\n書き慣れたものを,比起不熟悉的，\n还是用写惯了的比较好。
0000000000000,手毬,色紙をください。書いてあげますから。\nはい……なんですか、その顔は？,给我一张纸。我来写给你看。\n喂……你那是什么表情？
0000000000000,{user},なんとか今の月村手毬の\nイメージを損なわずにすんだ……,总算保住了现在的月村手毬\n的形象……
0000000000000,手毬,え。そ、そうなの……？\nじゃあ、そっちを書いてあげようかな。,诶。是、是吗……？\n那我还是用原来的签名吧。
0000000000000,{user},なんとか今の月村手毬の\nイメージを損なわずにすんだ……,总算保住了现在的月村手毬\n的形象……
0000000000000,手毬,う……わかりました。新しいサインは\n次回から書くことにします。,唔……我明白了。新的签名\n就留到下次再用吧。
0000000000000,{user},なんとか今の月村手毬の\nイメージを損なわずにすんだ……,总算保住了现在的月村手毬\n的形象……
info,adv_pevent_002_ttmr_sales_4-006-01.txt,,
译者,deepseek-chat,,
