id,name,text,trans
0000000000000,{user},チャリティ企画のゴミ拾いです。\n地味ですが大事な仕事です。,这是慈善活动的捡垃圾活动。\n虽然不起眼，但很重要。
0000000000000,星南,ええ、そうね。それに……とても大切な\n街だもの。綺麗にしましょう。,嗯，是啊。而且……这是非常重要的\n街道。让我们把它打扫干净吧。
select,,美しい\n街に,美丽的\n街道
select,,アピールも\n忘れずに,宣传也\n不要忘记
select,,他の参加者と\n協力を,与其他参与者\n合作
0000000000000,星南,きらめくアイドルの街。\n天川がそう呼ばれるようにしたいわ。,闪耀的偶像之街。\n我希望天川能被称为这样的地方。
0000000000000,{user},一個人としてゴミ拾いをする星南さん\nの姿も、絵になるな……,作为个人捡垃圾的星南\n的身影，也像一幅画……
0000000000000,星南,真摯に取り組む姿勢がそのまま\nアピールになる……でしょう？,认真对待的态度本身\n就是一种宣传……对吧？
0000000000000,{user},一個人としてゴミ拾いをする星南さん\nの姿も、絵になるな……,作为个人捡垃圾的星南\n的身影，也像一幅画……
0000000000000,星南,ええ、もちろん。ひとりじゃ全部は\nできないって、わかってる。,嗯，当然。我知道一个人\n无法完成所有事情。
0000000000000,{user},一個人としてゴミ拾いをする星南さん\nの姿も、絵になるな……,作为个人捡垃圾的星南\n的身影，也像一幅画……
info,adv_pevent_002_jsna_sales_2-001-02.txt,,
译者,deepseek-chat,,
